Timestamp,SourcePath,DestinationPath,SizeBytes,SourceSHA256,DestSHA256,Status,Action
"2026-08-16T13:56:33.188Z","C:\Users\chris\OneDrive\Desktop\ZAMORIN CAFE UPDATIONS..docx","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\DOCUMENTS\ZAMORIN CAFE UPDATIONS..docx",154133,"5A90599935E5727D6795D9B3614246EF907AE8039205E48DA57A33778304DF18","5A90599935E5727D6795D9B3614246EF907AE8039205E48DA57A33778304DF18","VERIFIED_MATCH","COPIED_AND_SOURCE_CLEANED"
"2026-08-16T13:56:33.198Z","C:\Users\chris\Downloads\Zamorin_Antigravity_Deck.pptx","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\DOCUMENTS\Zamorin_Antigravity_Deck.pptx",389676,"F7D4AD2D2C3B900CC16195DB12439B24C16BDFD54DEC59DC3DD5D17F05AEA069","F7D4AD2D2C3B900CC16195DB12439B24C16BDFD54DEC59DC3DD5D17F05AEA069","VERIFIED_MATCH","COPIED_AND_SOURCE_CLEANED"
"2026-08-16T13:56:33.208Z","C:\Users\chris\Downloads\Zamorin_Cafe_ERP_Full_Consolidated_Owner_Primary_Master_Dossier.docx","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\DOCUMENTS\Zamorin_Cafe_ERP_Full_Consolidated_Owner_Primary_Master_Dossier.docx",105022,"2EF01186F325864A1BA202044A392513B15AA8C9238730E9F396C764DD9AB4EB","2EF01186F325864A1BA202044A392513B15AA8C9238730E9F396C764DD9AB4EB","VERIFIED_MATCH","COPIED_AND_SOURCE_CLEANED"
"2026-08-16T13:56:33.216Z","C:\Users\chris\Downloads\Zamorin_Cafe_ERP_Full_Consolidated_Owner_Primary_Master_Dossier_Narrative_Final_2026-08-13.docx","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\DOCUMENTS\Zamorin_Cafe_ERP_Full_Consolidated_Owner_Primary_Master_Dossier_Narrative_Final_2026-08-13.docx",134186,"39D8B9F2DAC1A349A3603ECFB78022411A72E5AACD24F68AF79ABC8BC1646650","39D8B9F2DAC1A349A3603ECFB78022411A72E5AACD24F68AF79ABC8BC1646650","VERIFIED_MATCH","COPIED_AND_SOURCE_CLEANED"
"2026-08-16T13:56:33.227Z","C:\Users\chris\Downloads\Zamorin_Cafe_ERP_Status_and_Completion_Checklist.docx","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\DOCUMENTS\Zamorin_Cafe_ERP_Status_and_Completion_Checklist.docx",66804,"B953E89E84762117AB636C9536F903F106C60F4D35CBFEE07E6F12D2BC9382C7","B953E89E84762117AB636C9536F903F106C60F4D35CBFEE07E6F12D2BC9382C7","VERIFIED_MATCH","COPIED_AND_SOURCE_CLEANED"
"2026-08-16T13:56:33.233Z","C:\Users\chris\Downloads\ZAMORIN_CONTINUATION_MASTER_PROMPT.md","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\DOCUMENTS\ZAMORIN_CONTINUATION_MASTER_PROMPT.md",26238,"875335E926C73993775B5FF0151245CEF8A6C2D0D76D85E972D10D8594F8F9F1","875335E926C73993775B5FF0151245CEF8A6C2D0D76D85E972D10D8594F8F9F1","VERIFIED_MATCH","COPIED_AND_SOURCE_CLEANED"
"2026-08-16T13:56:33.242Z","C:\Users\chris\OneDrive\Desktop\New folder\Zamorin_Cafe_ERP_Final_Verification_Prompt.md","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\DOCUMENTS\Zamorin_Cafe_ERP_Final_Verification_Prompt.md",70618,"D8D9E0C96F2D3D4D764184613106DAE7FE6BBF39F10E8730302DA75BBDB7F80F","D8D9E0C96F2D3D4D764184613106DAE7FE6BBF39F10E8730302DA75BBDB7F80F","VERIFIED_MATCH","COPIED_AND_SOURCE_CLEANED"
"2026-08-16T13:56:33.250Z","C:\Users\chris\Downloads\zamorin-attendance-module-v1.zip","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\ARCHIVES\zamorin-attendance-module-v1.zip",256588,"16F6EBE1DFC74D20B8F7610C54AF3178F6F19E1F07698901A8FD2F4B71EDB37D","16F6EBE1DFC74D20B8F7610C54AF3178F6F19E1F07698901A8FD2F4B71EDB37D","VERIFIED_MATCH","COPIED_AND_SOURCE_CLEANED"
"2026-08-16T13:56:33.257Z","C:\Users\chris\OneDrive\Desktop\New folder\zamorin-app 0.zip","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\ARCHIVES\zamorin-app 0.zip",58375,"9D1EEB2232F4830C5182D83B8EE9BCB6F097AA9071804AED6B96D5951A4D3D41","9D1EEB2232F4830C5182D83B8EE9BCB6F097AA9071804AED6B96D5951A4D3D41","VERIFIED_MATCH","COPIED_AND_SOURCE_CLEANED"
"2026-08-16T13:56:33.264Z","C:\Users\chris\OneDrive\Desktop\New folder\zamorin-app-icon-hires.zip","D:\Zamorin_Cafe_ERP_Build\90_RECOVERED_C_DRIVE\ARCHIVES\zamorin-app-icon-hires.zip",445688,"776E58D1C1BFE666A115635D3A14F233482C256B3DE502E3A4312C4949BE12A8","776E58D1C1BFE666A115635D3A14F233482C256B3DE502E3A4312C4949BE12A8","VERIFIED_MATCH","COPIED_AND_SOURCE_CLEANED"
